CASE #,DATE  OF OCCURRENCE, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT
HX341547,7/11/2014,BATTERY,SIMPLE,APARTMENT,N,N,1235
HX341579,7/11/2014,THEFT,$500 AND UNDER,STREET,N,N,121
HX341524,7/11/2014,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,RESIDENCE,Y,Y,2223
HX341648,7/11/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,Y,N,1021
HX341565,7/11/2014,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,N,N,1211
HX341555,7/11/2014,BATTERY,SIMPLE,APARTMENT,Y,N,2022
HX341548,7/11/2014,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,N,N,1413
HX342055,7/11/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1413
HX341563,7/11/2014,BATTERY,SIMPLE,GAS STATION,Y,N,2232
HX341541,7/11/2014,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,N,N,1423
HX341544,7/11/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,N,N,1733
HX341535,7/11/2014,ASSAULT,SIMPLE,SIDEWALK,N,N,923
HX341539,7/11/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,321
HX342167,7/12/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,911
HX341965,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,632
HX342238,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,STREET,N,N,422
HX342369,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,1213
HX341624,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,Y,N,923
HX342121,7/12/2014,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,COMMERCIAL / BUSINESS OFFICE,N,N,2033
HX350141,7/12/2014,THEFT,OVER $500,APARTMENT,N,N,1134
HX341816,7/12/2014,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,Y,N,211
HX351581,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,724
HX343142,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,623
HX341874,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,1215
HX341552,7/12/2014,NARCOTICS,POSS: SYNTHETIC DRUGS,SIDEWALK,Y,N,1123
HX342032,7/12/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,N,N,1913
HX341543,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,SIDEWALK,Y,N,913
HX341571,7/12/2014,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,Y,N,1924
HX341609,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SPORTS ARENA/STADIUM,Y,N,2413
HX341616,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,Y,Y,2535
HX341553,7/12/2014,BATTERY,SIMPLE,BAR OR TAVERN,Y,N,831
HX341559,7/12/2014,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,Y,N,711
HX341566,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,835
HX341602,7/12/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,N,N,1032
HX341600,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1422
HX341599,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,Y,N,712
HX341577,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,SIDEWALK,N,Y,633
HX342854,7/12/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE PORCH/HALLWAY,N,N,735
HX343577,7/12/2014,BATTERY,SIMPLE,STREET,N,N,1811
HX341668,7/12/2014,ASSAULT,AGG PO HANDS NO/MIN INJURY,RESIDENCE PORCH/HALLWAY,Y,N,1733
HX341639,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,324
HX341590,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,725
HX341649,7/12/2014,ASSAULT,SIMPLE,APARTMENT,N,N,1225
HX341601,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,412
HX345202,7/12/2014,BATTERY,SIMPLE,STREET,N,N,1811
HX341595,7/12/2014,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,823
HX341574,7/12/2014,NARCOTICS,POSS: COCAINE,STREET,Y,N,922
HX341619,7/12/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1622
HX341581,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,712
HX341627,7/12/2014,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),N,N,1722
HX341607,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),N,Y,1533
HX341640,7/12/2014,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,SIDEWALK,Y,N,1411
HX342488,7/12/2014,THEFT,FROM BUILDING,TAVERN/LIQUOR STORE,N,N,2432
HX342256,7/12/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,Y,822
HX354112,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,333
HX344328,7/12/2014,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,SMALL RETAIL STORE,N,N,2422
HX342083,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,1613
HX341647,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1512
HX341888,7/12/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,711
HX341650,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,322
HX341614,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,131
HX341604,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,N,424
HX341806,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,713
HX341622,7/12/2014,ASSAULT,AGGRAVATED: HANDGUN,GAS STATION,N,N,1914
HX342054,7/12/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,N,N,2534
HX341620,7/12/2014,ROBBERY,ARMED: HANDGUN,STREET,N,N,412
HX341626,7/12/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,431
HX341603,7/12/2014,NARCOTICS,POSS: CRACK,SIDEWALK,Y,N,1531
HX341637,7/12/2014,BATTERY,SIMPLE,TAXICAB,N,N,1935
HX341630,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,Y,N,2213
HX341661,7/12/2014,THEFT,RETAIL THEFT,GAS STATION,N,N,835
HX341623,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,913
HX341664,7/12/2014,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,Y,N,1233
HX341641,7/12/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,N,N,1012
HX342850,7/12/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,314
HX341670,7/12/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,HOSPITAL BUILDING/GROUNDS,N,N,235
HX342374,7/12/2014,ROBBERY,AGGRAVATED,STREET,N,N,1924
HX341677,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,ALLEY,N,N,1022
HX341635,7/12/2014,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,Y,N,714
HX341656,7/12/2014,ASSAULT,AGG PO HANDS NO/MIN INJURY,STREET,Y,N,825
HX341638,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,N,Y,1831
HX341655,7/12/2014,ASSAULT,AGG PO HANDS NO/MIN INJURY,STREET,Y,N,832
HX341657,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,GAS STATION,Y,Y,323
HX341665,7/12/2014,BATTERY,SIMPLE,APARTMENT,N,N,533
HX341651,7/12/2014,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,RESIDENCE PORCH/HALLWAY,Y,N,2432
HX341618,7/12/2014,HOMICIDE,FIRST DEGREE MURDER,STREET,Y,Y,825
HX341685,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,PARK PROPERTY,N,N,1931
HX341652,7/12/2014,BATTERY,SIMPLE,STREET,N,N,1214
HX341682,7/12/2014,THEFT,$500 AND UNDER,BAR OR TAVERN,N,N,1433
HX342498,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,N,N,713
HX341634,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,921
HX341659,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,GAS STATION,N,N,1223
HX341644,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,1024
HX341653,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1532
HX341663,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,SIDEWALK,Y,Y,823
HX347100,7/12/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,2514
HX346258,7/12/2014,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),N,N,1723
HX344741,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2534
HX344033,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,ALLEY,N,N,1412
HX504402,7/12/2014,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,STREET,N,N,333
HX341802,7/12/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,532
HX343648,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,Y,N,835
HX342282,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2221
HX349895,7/12/2014,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,N,N,332
HX341919,7/12/2014,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,N,N,431
HX353309,7/12/2014,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,STREET,N,N,1831
HX341714,7/12/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,532
HX341676,7/12/2014,BATTERY,SIMPLE,SIDEWALK,N,N,332
HX341674,7/12/2014,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,Y,N,423
HX353331,7/12/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,N,N,1831
HX341688,7/12/2014,BATTERY,SIMPLE,TAXICAB,N,N,1424
HX341691,7/12/2014,THEFT,$500 AND UNDER,SIDEWALK,Y,N,811
HX341671,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,835
HX341683,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE PORCH/HALLWAY,Y,N,1132
HX341696,7/12/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,733
HX341784,7/12/2014,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,1224
HX341673,7/12/2014,BATTERY,SIMPLE,STREET,N,N,421
HX341697,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,712
HX342246,7/12/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,414
HX341725,7/12/2014,CRIM SEXUAL ASSAULT,AGGRAVATED: KNIFE/CUT INSTR,ALLEY,N,N,611
HX341678,7/12/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,N,N,2423
HX341702,7/12/2014,PUBLIC PEACE VIOLATION,OTHER VIOLATION,SIDEWALK,Y,N,725
HX341693,7/12/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,PARK PROPERTY,Y,N,1834
HX341700,7/12/2014,NARCOTICS,POSS: COCAINE,STREET,Y,N,925
HX341704,7/12/2014,PUBLIC PEACE VIOLATION,OTHER VIOLATION,ALLEY,N,N,611
HX341706,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,924
HX341695,7/12/2014,PROSTITUTION,SOLICIT FOR BUSINESS,SIDEWALK,Y,N,733
HX341724,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,APARTMENT,N,N,2515
HX341698,7/12/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENTIAL YARD (FRONT/BACK),Y,N,934
HX341680,7/12/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,621
HX341690,7/12/2014,ASSAULT,SIMPLE,STREET,Y,N,421
HX341949,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,312
HX341831,7/12/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,324
HX344381,7/12/2014,THEFT,$500 AND UNDER,APARTMENT,N,N,1214
HX344970,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,N,N,2524
HX341810,7/12/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,N,N,431
HX341672,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1112
HX341686,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,N,Y,613
HX341710,7/12/2014,ASSAULT,SIMPLE,STREET,Y,N,2432
HX341694,7/12/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,732
HX341692,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,Y,Y,1533
HX341701,7/12/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,433
HX341708,7/12/2014,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,N,N,1713
HX341740,7/12/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,1824
HX341705,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,N,1413
HX341709,7/12/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,Y,N,1021
HX341703,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,512
HX341728,7/12/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1531
HX396882,7/12/2014,THEFT,OVER $500,RESTAURANT,N,N,1231
HX342188,7/12/2014,THEFT,POCKET-PICKING,STREET,N,N,1923
HX341743,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,ALLEY,N,N,433
HX341719,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,624
HX341729,7/12/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,Y,N,531
HX341739,7/12/2014,BATTERY,SIMPLE,STREET,N,N,612
HX341712,7/12/2014,BATTERY,SIMPLE,SIDEWALK,N,N,422
HX341715,7/12/2014,THEFT,OVER $500,STREET,Y,N,232
HX341720,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,311
HX341716,7/12/2014,BATTERY,AGGRAVATED: HANDGUN,RESIDENTIAL YARD (FRONT/BACK),N,N,431
HX341717,7/12/2014,NARCOTICS,POSS: COCAINE,SIDEWALK,Y,N,1031
HX341718,7/12/2014,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TAXICAB,N,N,312
HX341745,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,735
HX344858,7/12/2014,THEFT,$500 AND UNDER,,N,N,1214
HX342505,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,324
HX341723,7/12/2014,ASSAULT,SIMPLE,SIDEWALK,N,N,613
HX342464,7/12/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,622
HX342024,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,1215
HX351495,7/12/2014,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),N,N,1831
HX341782,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1011
HX341731,7/12/2014,ROBBERY,ARMED: HANDGUN,TAXICAB,Y,N,224
HX341738,7/12/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,Y,N,1933
HX341747,7/12/2014,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,1824
HX341737,7/12/2014,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,RESIDENCE,N,N,713
HX341722,7/12/2014,BATTERY,SIMPLE,TAXICAB,Y,N,1413
HX341742,7/12/2014,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TAXICAB,N,N,2513
HX341866,7/12/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,1221
HX341749,7/12/2014,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,N,N,1422
HX341856,7/12/2014,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENTIAL YARD (FRONT/BACK),N,N,2413
HX341744,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1133
HX342164,7/12/2014,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,N,N,725
HX341721,7/12/2014,THEFT,$500 AND UNDER,SIDEWALK,N,N,2024
HX342119,7/12/2014,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,N,N,1432
HX345482,7/12/2014,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,N,N,2521
HX341751,7/12/2014,ASSAULT,AGGRAVATED: HANDGUN,STREET,N,N,2534
HX343703,7/12/2014,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,N,N,611
HX341750,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,1622
HX342205,7/12/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),N,N,835
HX341758,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2515
HX342528,7/12/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,HOTEL/MOTEL,N,N,2232
HX341760,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2213
HX341755,7/12/2014,ROBBERY,VEHICULAR HIJACKING,STREET,N,N,931
HX341748,7/12/2014,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,N,N,1651
HX341821,7/12/2014,BATTERY,SIMPLE,RESIDENCE,N,Y,511
HX341769,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,921
HX341763,7/12/2014,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,2413
HX341766,7/12/2014,BURGLARY,FORCIBLE ENTRY,"SCHOOL, PUBLIC, BUILDING",N,N,723
HX341756,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,524
HX341781,7/12/2014,ASSAULT,SIMPLE,RESIDENCE,N,Y,532
HX341879,7/12/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,ATM (AUTOMATIC TELLER MACHINE),N,N,1821
HX341773,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,STREET,N,N,1924
HX342273,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,421
HX344303,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,512
HX341823,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,434
HX343190,7/12/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,N,N,1011
HX341768,7/12/2014,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,N,N,1653
HX343544,7/12/2014,THEFT,POCKET-PICKING,SIDEWALK,N,N,1125
HX341803,7/12/2014,BATTERY,SIMPLE,HOSPITAL BUILDING/GROUNDS,N,N,2031
HX342148,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,522
HX341814,7/12/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,N,Y,414
HX341787,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,STREET,N,N,1934
HX341790,7/12/2014,THEFT,OVER $500,STREET,N,N,1512
HX343975,7/12/2014,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,STREET,N,N,1133
HX342104,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,N,N,1631
HX341795,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,313
HY278422,7/12/2014,THEFT,FROM BUILDING,APARTMENT,N,N,733
HX341799,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,133
HX341798,7/12/2014,NARCOTICS,POSS: COCAINE,SIDEWALK,Y,N,1024
HX341839,7/12/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,OTHER,Y,N,122
HX341853,7/12/2014,THEFT,RETAIL THEFT,DRUG STORE,Y,N,1824
HX341842,7/12/2014,THEFT,$500 AND UNDER,STREET,Y,N,2011
HX341928,7/12/2014,THEFT,RETAIL THEFT,DRUG STORE,Y,N,1824
HX342597,7/12/2014,THEFT,FROM BUILDING,OTHER,N,N,1233
HX341920,7/12/2014,THEFT,$500 AND UNDER,APARTMENT,N,N,1934
HX347411,7/12/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,N,N,511
HX341824,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,523
HX341825,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,N,2412
HX341925,7/12/2014,ASSAULT,SIMPLE,APARTMENT,N,Y,713
HX341983,7/12/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,531
HX344646,7/12/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,GOVERNMENT BUILDING/PROPERTY,N,N,113
HX345711,7/12/2014,THEFT,$500 AND UNDER,OTHER,N,N,124
HX341836,7/12/2014,ASSAULT,SIMPLE,RESIDENCE,Y,Y,735
HX341837,7/12/2014,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,Y,N,1832
HX341847,7/12/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,612
HX341848,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,N,1011
HX341846,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,Y,N,1824
HX341835,7/12/2014,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,N,N,1653
HX341935,7/12/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,613
HX342397,7/12/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,N,N,1933
HX372119,7/12/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,1213
HX344767,7/12/2014,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),N,N,414
HX342291,7/12/2014,THEFT,$500 AND UNDER,OTHER,N,N,235
HX341869,7/12/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,311
HX342628,7/12/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,233
HX343468,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,323
HX391306,7/12/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,1915
HX347073,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,411
HX343834,7/12/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,921
HX369213,7/12/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,N,N,223
HX358083,7/12/2014,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,N,N,414
HX448132,7/12/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2525
HX341871,7/12/2014,THEFT,RETAIL THEFT,OTHER,Y,N,2533
HX341912,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,1522
HX414164,7/12/2014,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,N,N,222
HX341932,7/12/2014,BATTERY,SIMPLE,APARTMENT,Y,N,2412
HX539652,7/12/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,823
HX344979,7/12/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,ANIMAL HOSPITAL,N,N,523
HX341877,7/12/2014,BATTERY,SIMPLE,RESIDENCE,N,N,1824
HX341876,7/12/2014,ASSAULT,SIMPLE,RESIDENCE,Y,Y,2234
HX341914,7/12/2014,THEFT,$500 AND UNDER,CTA BUS STOP,N,N,623
HX341890,7/12/2014,CRIMINAL TRESPASS,TO LAND,APARTMENT,Y,N,715
HX341882,7/12/2014,BATTERY,SIMPLE,NURSING HOME/RETIREMENT HOME,N,N,2515
HX341908,7/12/2014,ASSAULT,SIMPLE,RESIDENCE,N,Y,414
HX342681,7/12/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,1623
HX341909,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,N,1222
HX346057,7/12/2014,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,VEHICLE NON-COMMERCIAL,N,N,224
HX342051,7/12/2014,THEFT,FROM BUILDING,HOTEL/MOTEL,N,N,112
HX341927,7/12/2014,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,322
HX341893,7/12/2014,BATTERY,AGGRAVATED: HANDGUN,ALLEY,N,N,1133
HX343515,7/12/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,2221
HX345393,7/12/2014,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,N,N,2433
HX342727,7/12/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,621
HX354420,7/12/2014,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,522
HX342303,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,334
HX342481,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1214
HX342064,7/12/2014,ASSAULT,SIMPLE,SIDEWALK,N,N,714
HX341898,7/12/2014,BATTERY,SIMPLE,DEPARTMENT STORE,N,N,1522
HX341916,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,323
HX358661,7/12/2014,THEFT,$500 AND UNDER,SIDEWALK,N,N,121
HX348528,7/12/2014,BATTERY,SIMPLE,OTHER,N,N,1824
HX341899,7/12/2014,ASSAULT,SIMPLE,STREET,N,N,215
